,id,breed,name_breed,description
108,108,tibetan_mastiff,Tibetan Mastiff,"The Tibetan mastiff (Tibetan: འདོགས་ཁྱི, Wylie: Do khyi, Chinese: 藏獒, Pinyin: Zàng áo, Nepali: Bhote Kukur) is a large Tibetan dog breed. Its double coat is long, subject to climate, and found in a wide variety of colors, including solid black, black and tan, various shades of red (from pale gold to deep red) and bluish-gray (dilute black), often with white and blue markings.

"
109,109,tibetan_terrier,Tibetan Terrier,"The Tibetan Terrier is a medium-sized breed of dog that originated in Tibet. Despite its name, it is not a member of the terrier group. The breed was given its English name by European travelers due to its resemblance to known terrier breeds. The Tibetan name for the breed, Tsang Apso, roughly translates to ""shaggy or bearded (""apso"") dog, from the province of Tsang"". Some old travelers' accounts refer to the dog as Dokhi Apso or ""outdoor"" Apso, indicating a shaggy or bearded working dog which lives outdoors.

"
110,110,toy_poodle,Toy Poodle,"The Poodle, called the Pudel in German and the Caniche in French, is a breed of water dog. The breed is dived into four varieties based on size, the Standard Poodle, Medium Poodle, Miniature Poodle and Toy Poodle, although the Medium Poodle variety is not universally recognised.
The Poodle is most commonly claimed to have been developed in Germany, although it is also claimed to be from France, the Standard Poodle was originally used by wildfowl hunters to retrieve game from water. The smaller varieties of the breed were bred from the original in France where they were once commonly used as circus performers, but have become popular companion dogs.

"
111,111,toy_terrier,Toy Terrier,"The Toy Fox Terrier is a small terrier breed of dog, directly descended from the larger Smooth Fox Terrier but since 1936 registered in USA as a separate breed at UKC

"
112,112,vizsla,Vizsla,"The Vizsla (Hungarian: [ˈviʒlɒ]) is a dog breed from Hungary and belongs to the Federation Cynologique Internationale (FCI) group 7 (Pointing Dogs), the Canadian Kennel Club (CKC) group 1 (Sporting group), and the American Kennel Club (Sporting group). Its name means ""searcher"" or ""tracker"" in Hungarian. The Hungarian or Magyar Vizsla or Smooth-Haired Vizsla are sporting dogs and loyal companions. The Vizsla's medium size is one of the breed's most appealing characteristics. As a hunter of fowl and upland game, the Vizsla has held a prominent position among sporting dogs – that of household companion and family dog.
The Vizsla is a natural hunter endowed with an excellent nose and outstanding trainability. It was bred to work in fields, forests or bodies of water. Although they are lively, gentle-mannered, demonstrably affectionate and sensitive, they are also fearless and possess a well-developed protective instinct.

"
113,113,walker_hound,Walker Hound,"The Treeing Walker Coonhound is a breed of hound descended from the English and American Foxhounds. The breed originated in the United States when a dog known as ""Tennessee Lead"" was crossed into the Walker Hound in the 19th century. The Treeing Walker Coonhound was recognized officially as a breed by the United Kennel Club in 1945 and by the American Kennel Club in 2012.
The Treeing Walker Coonhound was bred primarily to hunt raccoons, but it is also used on other game such as deer, bears, bobcats or cougars. The breed is vocal with a distinctive bay that allows its owner to identify their hound from great distances. It has a clear, ringing voice that changes to a steady chop at the tree. Treeing Walker Coonhounds are gentle, calm, friendly dogs who make great house pets.

"
114,114,weimaraner,Weimaraner,"The Weimaraner ( VY-mə-rah-nər) is a large dog that was originally bred for hunting in the early 19th century. Early Weimaraners were used by royalty for hunting large game such as boar, bear and deer. As the popularity of large game hunting began to decline, Weimaraners were used for hunting smaller animals like fowl, rabbits and foxes.
The Weimaraner is an all-purpose gun dog. The name comes from the Grand Duke of Saxe-Weimar-Eisenach, Karl August, whose court, located in the city of Weimar (now in the state of Thuringia in modern-day Germany), enjoyed hunting.

"
115,115,welsh_springer_spaniel,Welsh Springer Spaniel,"The Welsh Springer Spaniel (Cymraeg: Llamgi Cymru) is a breed of dog and a member of the spaniel family. Thought to be comparable to the old Land Spaniel, they are similar to the English Springer Spaniel and historically have been referred to as both the Welsh Spaniel and the Welsh Cocker Spaniel. They were relatively unknown until a succession of victories in dog trials by the breed increased its popularity. Following recognition by The Kennel Club in 1902, the breed gained the modern name of Welsh Springer Spaniel. The breed's coat only comes in a single colour combination of white with red markings, usually in a piebald pattern. Loyal and affectionate, they can become very attached to family members and are wary of strangers. Health conditions are limited to those common among many breeds of dog, although they are affected more than average by hip dysplasia and some eye conditions. They are a working dog, bred for hunting, and while not as rare as some varieties of spaniel, they are rarer than the more widely known English Springer Spaniel with which they are sometimes confused."
116,116,west_highland_white_terrier,West Highland White Terrier,"The West Highland White Terrier, commonly known as the Westie, is a breed of dog from Scotland with a distinctive white harsh coat with a somewhat soft white undercoat. It is a medium-sized terrier, although with longer legs than other Scottish breeds of terrier. It has a white double coat of fur which fills out the dog's face, giving it a rounded appearance. 
The breed is intelligent, quick to learn, and can be good with children, but does not always tolerate rough handling. The Westie is an active and intelligent breed, and is social with a high prey drive, as they were once used to hunt rodents. Additionally, it is a hypoallergenic dog breed.The modern breed is descended from a number of breeding programs of white terriers in Scotland before the 20th century. Cousin to the Cairn Terrier, the Westie was bred to hunt small rodents at places such as farms. Edward Donald Malcolm, 16th Laird of Poltalloch, is credited with the creation of the modern breed from his Poltalloch Terrier, but did not want to be known as such. 
Other related breeds included George Campbell, 8th Duke of Argyll's Roseneath Terrier and Dr Americ Edwin Flaxman's Pittenweem Terriers. This breed of small white Scottish terriers was given its modern name for the first time in 1908, with recognition by major kennel clubs occurring around the same time.
The breed remains very popular in the UK, with multiple wins at Cruft's. It has been in the top third of all breeds in the US since the 1960s. It has been featured in television and film, including in Hamish Macbeth, and in advertising by companies such as Cesar dog food and the Scotch whisky Black & White. 
Several breed-specific and nonspecific health issues appear in the breed, including a condition in young dogs nicknamed ""westie jaw"" which causes an overgrowth of bone in the jaw of the dog. It can also be prone to skin disorders, with a breed-specific condition called hyperplastic dermatosis occurring. They are a very energetic and boisterous breed, needing regular exercise of around one hour per day."
117,117,whippet,Whippet,"The Whippet (also English Whippet or Snap Dog) is a dog breed of medium size. They are a sighthound breed that originated in England, where they descended from Greyhounds. Whippets today still strongly resemble a smaller Greyhound. Part of the Hound group, Whippets have relatively few health problems other than arrhythmia. Whippets also participate in dog sports such as lure coursing, agility, dock diving and flyball. The name is derived from an early 17th-century word, now obsolete, meaning ""to move briskly"".There has been continuity in describing Greyhound-types of different sizes: large, medium and small, as recorded in hunting manuals and works on natural history from the Middle Ages. Edward of Norwich, 2nd Duke of York confirmed in his early 15th century translation and additions to the original late 14th century French Livre de chasse the advantage of maintaining the great, the middle, and the small size of greyhound for different sorts of game. The English physician and academic John Caius refers in his 16th century De Canibus Britannicus to lesser as well as greater sorts of Leporarius, Grehounde (greyhound) and notably to a type which has been connected to the Whippet, the Tumbler, a lesser sort of mungrell Greyhounde and excellent warren dog for catching rabbits, also recorded by the early 19th century Scottish curator and editor Thomas Brown (naturalist). The Victorian English writers describe the emerging modern breed of Whippet or snap-dog bred for catching rabbits, coursing competitions, straight rag-racing, and for the novel show fancy.This has led to Whippets being described as ""the poor man's racehorse"". They are a popular companion breed frequently used in amateur racing, lure coursing, and dog shows; they have the highest running speed of breeds for their weight: and are possibly the fastest accelerating dog breed.

"
118,118,wire-haired_fox_terrier,Wire-Haired Fox Terrier,"The Wire Fox Terrier (also known as Wire Hair Fox Terrier or Wirehaired Terrier) is a breed of dog, one of many terrier breeds. It is a fox terrier, and although it bears a resemblance to the Smooth Fox Terrier, they are believed to have been developed separately.

"
119,119,yorkshire_terrier,Yorkshire Terrier,"The Yorkshire Terrier (often shortened as Yorkie) is one of the smallest dog breed of terrier type, and of any dog breed. The breed developed during the 19th century in Yorkshire, England. Ideally its maximum size is 7 pounds (3.2 kg). A popular companion dog, the Yorkshire Terrier has also been part of the development of other breeds, such as the Silky Terrier. It has a grey, black and tan coat.
Yorkshire Terriers are very playful and energetic dogs. Many people who have a Yorkie as a pet have two, because they often have separation anxiety when left alone.

"
